TSP Name,Nr Cities,OPT,GG(195075),GG(50),GG(1),Linear,Staircase,Sigmoid,Geometric,Linear Reheat,Cosine
a280,280,2579,29399.663771077787,4239.315691895345,4170.40392683815,10349.578566204105,7235.819066645361,6979.712393269275,4490.52353864529,4773.5440691597805,14665.487064538951
berlin52,52,7542,20756.986024776947,7861.1261264552495,7939.843437817571,8187.44025858611,8305.99567797481,7838.26805572806,7785.96292029838,7743.879557489432,8953.359421759782
bier127,127,118282,499610.25905115285,137952.72087589192,138509.397036525,132516.62349397579,133314.46404630033,134478.003424206,138281.79726570036,135920.0254571813,153118.9271420419
ch130,130,6110,37726.905918962875,7426.608151326461,7709.94759229029,10299.546129312577,9380.777578332421,8243.461953735725,7514.539730502618,7463.5673743715915,14377.611353241295
ch150,150,6528,44489.07331615406,8210.85591240622,8418.606710702641,12271.003358671307,11001.651697956007,9664.616984799071,8483.2419231338,8522.67333202207,17314.040022916546
d198,198,15780,147716.08601868537,20170.19803837078,20198.88589055418,26407.14577877347,25143.351165525128,22412.58444510612,20037.239646112692,20106.901506912538,39752.386880117025
d493,493,35002,401436.8779900704,62054.984283944126,62638.55173778846,102378.26286473376,96494.2184966484,82717.66231917727,64519.02174096081,65901.5359292855,179113.65554147805
d657,657,48912,776926.8788657145,115984.81297390346,115973.89173308278,185618.13257927058,177722.07939675893,155729.22196625423,120394.19618562772,121298.29467062533,345402.8665061282
d1291,1291,50801,1618293.3850278095,275077.3166829581,274085.28900570265,435531.0689982272,423370.8639824364,380469.02050877246,281878.93466659304,282501.24205527204,807939.9467063148
eil51,51,426,1182.627657750298,484.51398138586,443.68806134663,597.6413372632572,471.65063652649803,607.5407306005735,447.6204269096399,451.40622188295936,615.8446837193799
eil101,101,629,2705.644486886887,897.1982162268399,738.10478519426,1288.9855715103727,850.1187417204692,1239.4633460660505,760.4044600550947,771.4552512052801,1404.0114105230107
fl417,417,11861,418834.335427539,23095.330097958133,23898.820171403477,46486.664792373755,42174.675587314836,34252.332962472145,25002.69142044981,25321.324484935758,104680.32840854996
kroA100,100,21282,126782.41715806394,26290.795894870076,26606.07668794157,27166.334621523165,27158.391380553076,26286.54257043648,25849.299339981437,25546.66979889224,35669.56030980493
kroB100,100,22141,123716.20866628962,26837.665702254704,26995.78356987143,27773.14632051285,27775.27415037828,26753.1271349633,26432.342934422362,26296.44507476701,36256.091050950665
kroC100,100,20749,124716.09088331184,26162.240621852245,26534.79969551488,26810.90903258013,26652.439834528905,26091.94089889958,25744.583432142805,25032.0235857036,35444.165076007936
kroD100,100,21294,121704.64660293484,26000.426456194116,26583.80506914822,27247.46869854703,27230.107537913027,25855.158418790197,25924.85356232021,25455.382090479558,34690.594416043
kroE100,100,22068,126229.83887612191,26475.18009502305,26682.570429125637,27774.00601818041,27915.139929716584,26425.076658240236,26700.448365330387,26010.134332673737,36022.36743289557
kroA150,150,26524,201992.23219384192,35108.50230289548,35068.85132512936,39492.42850204163,39085.30818839661,36581.91413655118,34876.973588412344,34627.083503488466,58228.550225205254
kroB150,150,26130,198555.13247017845,34101.362629062896,33923.445718057,39202.970034550446,38209.36661889945,35683.608550778525,33853.18661106329,33514.93168183471,56581.66245856105
kroA200,200,29368,274563.8038402478,41424.02892762373,41601.26346624649,51122.5675795781,50156.058546500666,46111.83654631506,41684.98592594116,41219.1799056118,81005.5576350879
kroB200,200,29437,269030.41181005136,41142.254044111156,41826.649045628976,51319.92449133347,49344.850237126055,45985.52934287817,42029.366411249284,41822.115487909716,80042.10887315698
lin105,105,14379,92347.73498292506,18134.06072498481,18432.58031263671,19317.897405768792,18998.863521957515,17912.95010826721,17420.75747598745,17491.127015799397,26615.109523718398
lin318,318,42029,507404.1703784916,70478.55085231553,70694.60998051794,94431.05128446303,91124.51200655538,83683.84051935293,71219.71969589876,70767.87107791172,168708.91775370302
p654,654,34643,1695569.7319039623,91007.70077070931,94071.0072482707,141820.0072345073,135679.4710433314,123173.52802366504,93364.63609705208,93179.49717906816,261041.9650446571
pcb442,442,50778,683313.4395557649,97472.04532943781,97069.069403843,137249.84348776247,133850.75320196364,119997.64492092142,99160.53795411745,98630.70347458143,253339.90325478534
pcb1173,1173,56892,1307400.6972039093,219254.72759481226,220834.66801446374,359191.30343869765,347540.04129138496,304053.2803424939,227416.7907906902,227141.78646528284,657766.3254917029
pr107,107,44303,366753.9563315961,53962.41302392841,54615.4628642639,55068.063845004086,55366.65929473203,54795.420401585885,54863.78059330282,54437.710324369546,65564.95779446063
pr124,124,59030,497162.6635306429,79607.0550306909,79917.50660703875,79400.06499976228,80752.95374547355,80527.0800333996,80383.47086078911,80421.99070707613,95643.16517007307
pr136,136,96772,606236.3758968539,121938.08666704998,122713.31778950989,122667.1223619126,122002.07016885348,124293.80959879763,123041.5660355854,121395.36726833656,142457.26775995467
pr144,144,58537,598227.3758127054,79050.76386515689,79014.8431214593,81689.80526236176,81001.19019707949,81892.66417464036,78856.73906164237,78644.74006403804,93071.43260264193
pr152,152,73682,761168.2148676994,99829.31669310694,99403.55071301981,100436.16132197207,99567.57412317353,101867.01120149772,101807.85279952607,97689.37353472943,114365.84302038355
pr226,226,80369,1277904.733384509,127992.86385589023,127109.96828298706,135264.64560340645,138401.2299331574,135860.49367042168,127578.28816515805,129338.41513899011,155077.22937993496
pr299,299,48191,624058.1073715523,81807.18897480945,82720.43406425361,103317.19193052166,100886.84860395796,94774.13380400915,81982.20477373684,82214.11002143573,176981.4366081532
rat99,99,1211,6349.724659971856,1406.3947026308647,1419.2969412389598,2275.901465206007,1686.5302955758602,1880.7052944336895,1430.27105954486,1458.03162063177,2679.0463372229797
