TSP Name,OPT,GG(195075),GG(50),GG(1),Linear,Staircase,Sigmoid,Geometric,Linear Reheat,Cosine
a280,2579,28654.3929330414,4093.4692452693,3964.52111313,10016.123224235,7047.94162346998,6525.9396446404,4274.01164442,4529.4763918451,14135.2276742623
berlin52,7542,18885.0364613515,7661.3095814738,7748.6274168546,7902.4274993957,8061.0518806878,7565.870263905,7565.8702639068,7544.3659019034,8478.0002843267
bier127,118282,485168.3526852164,132752.4631683967,133649.8527968407,129455.976553053,127657.7171931061,130201.2966148362,131124.71483255885,131242.0982896839,146019.189104639
ch130,6110,35993.9692567865,7120.677253554,7235.612222340063,9612.2967776323,8853.2000425561,7762.1254016133,7104.1761853528,7231.9951600653,13410.8411786279
ch150,6528,43151.82126965588,7899.0965274919,8019.4429247043,11144.4283896354,10264.0868826792,9224.9104257414,8144.3135489683,8196.8840936696,16496.513994226
d198,15780,142592.3179468758,19264.4756119808,19181.7755994196,25253.9296168452,23900.7324818251,21445.9940938052,19125.5124080949,19212.1528912811,37327.0013185
d493,35002,393280.0571329278,59965.3597100925,59358.3552083425,98748.0080072123,93773.5477056811,79366.0236143824,62434.858233711,62749.1158708286,173837.26561719173
d657,48912,761923.4654814773,114684.1211152897,112986.8679019416,179489.4260539481,172301.2255333502,149882.6418204333,116917.9658978982,118197.6673685563,336572.7044488048
d1291,50801,1589308.8133849895,266467.65837511,263600.0672705468,422361.8997828294,413285.1650940162,368311.574331788,274292.172080631,273661.4602424404,791369.6000381779
eil51,426,1138.2271084642,466.0739968804,436.2288109287,558.7106976465648,441.4933302695,577.693320549,432.985190104,441.317916341,562.5487825231
eil101,629,2603.2861261725,883.3758690149,735.2185037046581,1227.3883344284,817.7219580065,1167.5458624641,738.1236545192,734.4622212445,1350.64149776946
fl417,11861,406905.4720450166,21492.8628313251,21134.2924426087,43060.5197845711,37442.8638678314,31373.4728492268,22659.0415054189,22579.3054994941,100542.87439509878
kroA100,21282,122299.3398249237,24410.6920673917,25005.8566134326,25816.7695970339,25821.7046174265,24972.0250002245,24330.7698002371,24023.4514832768,33185.4188663516
kroB100,22141,119394.9410896925,25452.7680999403,24915.3331224721,26366.1323059703,26162.5290933328,24821.4382369881,25516.1966979339,25130.1336287752,33646.2207264483
kroC100,20749,118030.4686088607,24211.1629647766,24336.9958235748,25702.188397805767,25599.3593698857,24845.0474939553,23493.1840376951,24206.1904373859,33355.824808848
kroD100,21294,114912.09127452556,24544.3995802334,24814.5620922671,25614.464114052,25636.814624889,24746.9147659304,24184.4244912292,24127.2600982928,32829.0977655102
kroE100,22068,118410.03356092075,25226.7504172902,25085.715100761,26030.543045173,26209.9811486478,25239.6580758951,25096.3990510886,24834.6547109422,32234.1708972756
kroA150,26524,196059.24931501783,33629.7133641746,33193.2077654994,37252.105493304,37074.5410344438,34203.9378340215,33696.0901140536,32641.2915451212,55898.6408819452
kroB150,26130,192866.01554160204,32403.6284554809,32777.6300718543,37143.5844985302,36498.3409960249,34345.0108349258,32292.7896638726,32010.116300290774,54171.4593151306
kroA200,29368,264748.2597903707,39262.9964573805,39909.1308841717,48460.889251817,48071.0621278579,44056.3018619274,40246.158820586,39610.9058874453,78701.97387386007
