TSP Name,OPT,GG(195075),GG(50),GG(1),Linear,Staircase,Sigmoid,Geometric,Linear Reheat,Cosine
a280,2579,30079.7922327822,4161.1920840068,4240.7895578118,10491.2580938388,7268.4542765876,7402.9506085759,4424.6801654793,4882.0546549223,15281.6174713157
berlin52,7542,21531.5044199513,8560.2744793897,8368.6505055151,8493.1351247851,8567.938907617,8133.7021583729,8016.4552821027,8107.2109438419,9238.892081287
bier127,118282,520085.3638937721,144028.6418683782,144543.2573293694,138924.301123025,135889.5912295852,137059.7657366982,142455.3156444521,144336.6062743682,156677.4611818752
ch130,6110,37891.6113089876,8184.6635074858,8408.2476906701,10923.9793338597,9888.4455099304,8556.4391362103,8103.2300908492,7748.7223107814,14740.8471303887
ch150,6528,46170.410067902,8696.0617668335,8925.6153679328,11966.2059509777,10825.6225401459,10485.963828578,8977.7540113293,8622.6560228608,17576.2763981503
d198,15780,152085.32237122,21773.0228920895,21697.3546539166,27822.6290676991,24954.1883282117,24588.1446585523,21274.6872276471,20585.8161261269,42282.4263583348
d493,35002,406542.2142822984,66628.2104897725,67301.1351963291,103367.9626319969,101757.687617111,86780.1774107827,66546.4915228112,67160.4686314981,184120.0760733796
d657,48912,770924.4924883984,117942.0840542657,121445.6369822115,184078.8013307106,186574.2316523074,160010.5878546094,124637.3671738807,123973.725157783,355647.0444891356
d1291,50801,1631843.7626801732,274716.0400491199,283531.6875586141,455587.0714870283,433132.2116142521,390270.7329055122,294721.1482452145,285570.2230055837,815560.1737676843
eil51,426,1197.1432788882,493.2444443051,443.7235839834,635.2840555891,487.6032894302,637.8760316761,456.9042973627,457.749659163,617.43982667
eil101,629,2778.986243783,912.8641988295,759.3337412509,1352.1309913556,848.239661064,1274.6256612806,740.9564698932,743.0637349304,1465.3855585189
fl417,11861,423523.9471453485,23508.8465223903,24332.7989412348,47097.6518202888,46343.7247593867,39293.3004811909,27000.7670888573,27427.9582476837,114073.5734433427
kroA100,21282,130137.9783503919,27938.7756117289,28513.853422796696,26974.0187839229,28553.8520908468,28614.153489355,27520.5925919155,26113.5822631158,37075.1491735738
kroB100,22141,123872.4507831784,28681.9152291218,29862.0693169255,29470.8924911953,29625.1035380774,26971.9454437786,27719.3328253515,27702.3984222439,36751.1926134182
kroC100,20749,129314.5718400657,27162.8351081894,27501.889483601,28824.5880631833,27942.6636861591,26847.549647522,27845.7621372073,26533.5307279743,35937.5554052719
kroD100,21294,124187.0109266304,27990.7598431269,28343.9795375534,28650.984414088,26870.9801058039,27639.3431451677,27276.9793699393,27177.9339838544,36908.6305769847
kroE100,22068,134952.7316164359,27841.146176034,26065.4955639738,29311.6739323216,29588.3832571751,27588.6372900696,26064.4684646801,27635.8950539948,37089.5541344617
kroA150,26524,210742.0742947308,38764.2407628287,38117.2582411223,42440.8608193485,41300.2474519294,39270.7147423596,35602.2057430152,35756.8820242754,60664.5395910417
kroB150,26130,203886.42868408572,38413.7224600152,34919.6733148329,40847.3900197482,41489.5172430108,36860.8257446469,35485.9699606826,35569.7288363519,56669.1488283535
kroA200,29368,282049.0247929212,43504.5592277034,44224.2566172489,54740.3644428465,50819.9110412877,47743.4183498435,44339.7096818835,43411.1360513423,83276.1431411967
kroB200,29437,276929.9477883063,45134.7264621719,41166.4267513362,53810.344599446,52209.1168611322,49609.7671486911,42195.6022416916,43639.3264193721,83866.4002104103
lin105,14379,95674.5350951498,19351.9509073174,19394.5058481306,19931.3882350668,19898.9378566512,19235.202651237,18656.6392814619,18201.4276690394,28199.388068899
lin318,42029,511517.9779084866,71798.6485095044,72555.2370884837,99431.7278089643,94795.9983486558,87356.7959754625,73943.5400271787,75848.379124018,176345.6275933017
p654,34643,1735274.279553926,102209.1945610456,104622.7734311905,144091.1677551832,141259.0132457427,122187.449178358,103750.7403118307,85668.2135012212,268528.8952315752
pcb442,50778,697373.2673489859,99457.875519386,101337.0913678503,140904.6824686913,131659.6909100092,122150.9329857147,102797.1957937173,101648.8338695204,258157.592047778
pcb1173,56892,1319761.3063570962,223310.4463425777,226023.9689490869,362603.9794423931,360881.8930662171,304212.3187437103,226975.3508474149,234623.7642312855,679619.7560746826
pr107,44303,381157.9366919403,56036.2322198998,55923.6129805937,56982.4058923347,58632.2083307619,55448.5154449396,55517.2638282602,57228.2333936618,65624.5219857047
pr124,59030,512777.5220285167,92351.5202169054,80831.3002841487,83505.890501318,86105.5435098026,84165.1539990426,83665.5724812655,90840.8137092219,102727.7601729942
pr136,96772,610750.0189280671,124318.9054071369,125855.1823069974,126722.5046512958,126774.1727382614,129049.7851915886,136010.5971928102,128486.6214989778,151868.7858969215
pr144,58537,617260.6700398459,87438.8172311389,78597.5644306005,83857.3769140475,84535.6834321401,83042.5174195032,84651.3852961971,89546.7414047425,100693.3009417148
pr152,73682,799145.7637316579,102010.6598997139,99133.2859622391,102460.47152027,107750.5327731859,103059.146925434,110085.5257995693,104046.8029013953,119526.4958699545
pr226,80369,1272892.6259223544,134851.8773597433,132669.9611966507,143127.310785322,143413.493539024,136359.2004418021,129146.0598596542,142602.2705057366,160570.7374178897
pr299,48191,642942.1431376182,83452.5288007262,86904.6473747698,107291.5251340925,104508.9537693335,101399.6972586814,88663.5236402822,82256.2352265101,179411.3956232578
rat99,1211,6514.3754190161,1398.5667259387,1594.6789593058,2346.5093916186,1628.3527976772,1930.5839740422,1540.2647910268,1500.2938772003,2841.3596370467
rat195,2323,19179.9352839513,3215.3081685436,3413.9724381203,6887.5595153506,4779.718498912,4864.4583490058,3344.7455976263,3626.8427110465,8949.5583702655
rat575,6773,104411.856335953,14826.5481290381,14514.4308512608,37915.9653609424,31137.9155169425,25306.4259249596,16398.0192713018,17204.966740815,59015.5499435664
rat783,8806,165558.3878060471,24302.6580105767,24360.4245112261,61731.1834819128,53123.2179791179,41845.3655474765,27393.8674941359,28257.146746024,101122.2691038355
rd100,7910,44463.0415745035,10281.3642569697,9492.9237835088,11619.5902346437,11850.7667921948,10489.4658781381,10203.2698343182,10022.695296115,14875.3466335774
rd400,15281,190901.5432608588,28281.8023203934,28847.0891075119,52199.8453081587,48725.5012889185,37965.5867760948,29682.3495476087,30167.3998189468,89672.2878641772
st70,675,2866.2383706805,752.0735091138,789.0911887985,1102.5786342183,875.2208997529,1065.3745408906,808.8343450589,773.2555884589,1296.0408869007
rl1304,252948,8211137.481149227,1524207.9558456163,1509217.6012922293,1560573.1823372694,1550598.5994172264,1583571.611545444,1493755.351843594,1471158.1950012865,1774723.3331413225
rl1323,270199,8532192.908247778,1595169.445861719,1563043.8573071726,1610203.4275443482,1629461.665879351,1638126.342206356,1587425.8442452387,1552839.2383624632,1850122.474058773
ts225,126643,1301293.2876688447,216659.0927139937,217757.9885219475,214984.8624901275,207790.1355624421,215905.4815927085,214556.6045167806,210905.0015207795,261440.5129231946
tsp225,3919,35995.0369294846,5506.5600349987,5767.3260985897,11496.7004643107,9061.4792238395,7850.9008016759,5921.7577178544,5805.1328890829,16967.360084914
pr76,108159,409420.0596720066,138782.5419356728,126386.6863767215,120878.7349880549,119500.1711800546,121172.9231765841,122740.0534541987,116383.4271510646,120407.29631169028
u159,42080,360590.5399770847,58952.7002207678,63511.8470464696,65418.0406213143,64583.3805237582,63931.8282474637,62562.7290507517,63837.776427656,90924.610391
u574,36905,618076.2688256268,88490.5646239366,85512.3783044307,137953.6594609853,132309.8512156209,115583.0435233044,85861.6914452364,88774.301376794,258631.4086748974
u724,41910,805333.761634116,114633.7875384616,110503.9668352872,189738.8355645907,178021.1293138456,150233.5401722176,118379.6654641266,119830.808916882,352970.56427959213
u1060,224094,5635640.481594707,867088.2100782865,869304.8576247479,938015.1588092082,923182.3538978042,939684.6045181536,881095.0909417832,869334.3395770219,1162198.363908179
vm1084,239297,7169150.80767025,1066926.7465764915,1092185.619477142,1124981.00470941,1143810.1304748207,1109338.314007321,1059613.643949353,1062551.2620664027,1298859.5665467056
